Brand Name,Generic Name (Salt),Strength,Dosage Form,Company Name,MRP (INR),Pack Size,Uses,Category
Hydroxychloroquine Forte 1,Hydroxychloroquine,100 mg,Capsule,Intas Pharmaceuticals Ltd,21.5,Strip of 10,Rheumatoid arthritis and malaria,Anti-inflammatory / Antimalarial
Sertraline 250 2,Sertraline,500 mg,Drops,Biocon Ltd,47.5,Bottle of 5 ml,Depression and anxiety disorders,Antidepressant
Montelukast 3,Montelukast,1000 IU,Oral Suspension,Micro Labs Ltd,87.0,Bottle of 200 ml,Asthma and allergic rhinitis,Respiratory
Amlodipine DS 4,Amlodipine,40 mg,Gel,Sun Pharmaceutical Industries Ltd,20.5,Tube of 20 gm,High blood pressure and angina,Blood Pressure Regulator
Metoprolol Plus 5,Metoprolol,10 mg,Syrup,Abbott India Ltd,17.5,Bottle of 60 ml,"Hypertension, angina and heart failure",Blood Pressure Regulator
Ofloxacin XR 6,Ofloxacin,40 mg,Ointment,Cipla Ltd,18.0,Tube of 30 gm,Bacterial infections of urinary and respiratory tract,Antibiotic
Atorvastatin 500 7,Atorvastatin,75 mg,Drops,Micro Labs Ltd,44.0,Bottle of 15 ml,High cholesterol and prevention of cardiovascular disease,Cholesterol Regulator
Metformin Plus 8,Metformin,5 mg,Tablet,Mankind Pharma Ltd,27.0,Strip of 10,Type 2 diabetes mellitus,Antidiabetic
Ciprofloxacin DS 9,Ciprofloxacin,250 mg/5 ml,Injection,Pfizer Ltd,97.0,Vial of 2 ml,Urinary tract and gastrointestinal infections,Antibiotic
Tramadol DS 10,Tramadol,500 mg,Injection,Micro Labs Ltd,170.0,Vial of 2 ml,Moderate to severe pain,Painkiller
Ibuprofen SR 11,Ibuprofen,20 mg/5 ml,Gel,Intas Pharmaceuticals Ltd,13.5,Tube of 20 gm,"Pain, inflammation and fever",Painkiller
Azithromycin 250 12,Azithromycin,250 mg,Oral Suspension,Abbott India Ltd,43.5,Bottle of 100 ml,Bacterial infections including respiratory and skin infections,Antibiotic
Salbutamol 250 13,Salbutamol,10 mg,Ointment,Wockhardt Ltd,23.5,Tube of 30 gm,Asthma and bronchospasm,Respiratory
Diclofenac SR 14,Diclofenac,50 mg,Injection,Zydus Lifesciences Ltd,85.5,Vial of 10 ml,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Budesonide DS 15,Budesonide,200 mg,Cream,Zydus Lifesciences Ltd,17.5,Tube of 10 gm,Asthma and inflammatory bowel disease,Respiratory
Alprazolam DS 16,Alprazolam,650 mg,Tablet,Torrent Pharmaceuticals Ltd,77.5,Strip of 30,Anxiety and panic disorders,Anxiolytic
Formoterol Advance 17,Formoterol,20 mg/5 ml,Capsule,Sanofi India Ltd,30.0,Strip of 20,Asthma and COPD,Respiratory
Clotrimazole Max 18,Clotrimazole,650 mg,Tablet,Jubilant Pharmova Ltd,76.0,Strip of 20,Fungal skin infections,Antifungal
Omeprazole XR 19,Omeprazole,100 mg/5 ml,Injection,Glenmark Pharmaceuticals Ltd,45.0,Vial of 5 ml,"Acidity, peptic ulcer and GERD",Acidity Regulator
Glimipiride Max 20,Glimipiride,1000 IU,Syrup,Lupin Ltd,108.0,Bottle of 100 ml,Type 2 diabetes mellitus,Antidiabetic
Diclofenac SR 21,Diclofenac,20 mg,Ointment,Jubilant Pharmova Ltd,24.0,Tube of 20 gm,Pain and inflammation in arthritis and musculoskeletal conditions,Painkiller
Gliclazide Max 22,Gliclazide,650 mg,Tablet,Pfizer Ltd,44.5,Strip of 15,Type 2 diabetes mellitus,Antidiabetic
Salbutamol Plus 23,Salbutamol,500 mg,Capsule,Wockhardt Ltd,88.5,Strip of 15,Asthma and bronchospasm,Respiratory
